id,width,height,class,x,y,w,h,isPeople
1_007875,8192,5460,0.0,0.8048847,0.34153095,0.0059338715,0.01246406,1
1_000438,5472,3648,0.0,0.42730975,0.08317919,0.009017632,0.016839052,1
1_003366,8192,5460,,,,,,0
1_003643,8192,5460,,,,,,0
1_002507,8192,5460,,,,,,0
1_004187,8192,5460,0.0,0.2366859,0.5984963,0.01802154,0.024432758,1
1_017330,8192,5460,0.0,0.4273835,0.97559494,0.014580212,0.013735888,1
1_004442,8192,5460,0.0,0.8511413,0.59348625,0.010856334,0.012053492,1
1_009160,8192,5460,,,,,,0
1_005740,8192,5460,,,,,,0
1_009268,8192,5460,0.0,0.69046634,0.08174692,0.0055210157,0.016843157,1
1_005824,8192,5460,,,,,,0
1_007743,8192,5460,0.0,0.52503985,0.2099787,0.008137784,0.012209688,1
1_001200,5472,3648,0.0,0.35377213,0.37458506,0.012514249,0.016563006,1
1_007421,8192,5460,,,,,,0
1_003394,8192,5460,0.0,0.11441534,0.4201499,0.01120145,0.012707181,1
1_001110,5472,3648,0.0,0.23445976,0.44048256,0.020611716,0.017667212,1
1_006403,8192,5460,0.0,0.0660592,0.40487307,0.012037163,0.012972772,1
1_000843,5472,3078,0.0,0.11691921,0.46438363,0.022452053,0.027155122,1
1_004961,8192,5460,,,,,,0
1_007687,8192,5460,0.0,0.7104766,0.5187797,0.0071205455,0.015516491,1
1_009445,8192,5460,,,,,,0
1_001028,5472,3648,0.0,0.5139277,0.35817012,0.016747003,0.028709207,1
1_002270,8192,5460,,,,,,0
1_007055,8192,5460,0.0,0.019538155,0.062061675,0.010639222,0.011401948,1
1_009229,8192,5460,0.0,0.029689731,0.3112186,0.01527476,0.01629092,1
1_006343,8192,5460,0.0,0.49083132,0.21742265,0.0110734375,0.012053492,1
1_007252,8192,5460,,,,,,0
1_003028,8192,5460,0.0,0.97255796,0.006916152,0.018055223,0.013832304,1
1_004298,8192,5460,0.0,0.066795036,0.16653696,0.016284522,0.01563697,1
1_017041,8192,5460,,,,,,0
1_002450,8192,5460,,,,,,0
1_000550,5472,3648,,,,,,0
1_000734,5472,3078,0.0,0.9118316,0.037005935,0.012698319,0.021593235,1
1_002609,8192,5460,0.0,0.19547349,0.054380473,0.014889819,0.020106163,1
1_003998,8192,5460,0.0,0.04214928,0.6863907,0.009678378,0.026063526,1
1_003313,8192,5460,,,,,,0
1_003856,8192,5460,,,,,,0
1_003069,8192,5460,0.0,0.8020523,0.1599076,0.016665561,0.026644107,1
1_003183,8192,5460,,,,,,0
1_007063,8192,5460,0.0,0.8261115,0.0683313,0.008137826,0.010683473,1
1_002492,8192,5460,0.0,0.14876987,0.895554,0.012037167,0.022130063,1
1_004848,8192,5460,,,,,,0
1_007791,8192,5460,,,,,,0
1_000814,5472,3078,,,,,,0
1_004068,8192,5460,,,,,,0
1_004798,8192,5460,,,,,,0
1_003698,8192,5460,0.0,0.54921085,0.7326283,0.014145316,0.015638141,1
1_000595,5472,3078,0.0,0.4803076,0.5581839,0.010489878,0.01635853,1
1_000761,5472,3078,0.0,0.7269883,0.5321547,0.012330236,0.019957412,1
1_006296,8192,5460,,,,,,0
1_004319,8192,5460,0.0,0.21261735,0.27550748,0.02236407,0.014659666,1
1_007564,8192,5460,,,,,,0
1_017108,8192,5460,,,,,,0
1_009099,8192,5460,,,,,,0
1_005369,8192,5460,,,,,,0
1_007420,8192,5460,,,,,,0
1_000670,5472,3078,0.0,0.14897837,0.68249637,0.027052898,0.028790995,1
1_006488,8192,5460,0.0,0.43368813,0.99316776,0.010387809,0.013664531,1
1_004030,8192,5460,,,,,,0
1_017052,8192,5460,,,,,,0
1_009055,8192,5460,0.0,0.8651684,0.80350965,0.009155023,0.020349491,1
1_007659,8192,5460,,,,,,0
1_000520,5472,3648,0.0,0.19071445,0.19115391,0.0152747715,0.025396612,1
1_004825,8192,5460,,,,,,0
1_006158,8192,5460,0.0,0.00680126,0.79033595,0.012376238,0.016614292,1
1_007064,8192,5460,0.0,0.82950556,0.25770235,0.008646424,0.010429102,1
1_000665,5472,3078,0.0,0.8414682,0.9689934,0.023188198,0.035007205,1
1_007511,8192,5460,0.0,0.8817241,0.41060388,0.006951068,0.010429118,1
1_006346,8192,5460,0.0,0.9620639,0.057145108,0.0074791475,0.03189253,1
1_001336,5472,3648,0.0,0.116187744,0.4691541,0.008033692,0.012701938,1
1_002257,8192,5460,0.0,0.58082193,0.18297054,0.010958904,0.018497668,1
1_004353,8192,5460,0.0,0.8578525,0.5821791,0.012159113,0.02834201,1
1_000539,5472,3648,,,,,,0
1_000161,5472,3648,0.0,0.28373685,0.7186426,0.02245206,0.022083992,1
1_002695,8192,5460,,,,,,0
1_002178,8192,5460,,,,,,0
1_002119,8192,5460,,,,,,0
1_001404,8000,6000,0.0,0.3263402,0.8505151,0.013167537,0.020029409,1
1_005475,8192,5460,,,,,,0
1_006530,8192,5460,,,,,,0
1_006224,8192,5460,0.0,0.435325,0.62898976,0.012087009,0.018739464,1
1_005984,8192,5460,,,,,,0
1_017216,8192,5460,,,,,,0
1_001428,8000,6000,0.0,0.42061836,0.90610844,0.014985015,0.01998002,1
1_006945,8192,5460,0.0,0.4241538,0.042208824,0.0084769055,0.012209685,1
1_007410,8192,5460,,,,,,0
1_003202,8192,5460,0.0,0.67181903,0.95596236,0.01174792,0.025824279,1
1_002081,8192,5460,0.0,0.59804714,0.64133954,0.011543796,0.019051947,1
1_009253,8192,5460,,,,,,0
1_004184,8192,5460,0.0,0.20732458,0.009812345,0.016501645,0.018243121,1
1_003765,8192,5460,,,,,,0
1_003542,8192,5460,,,,,,0
1_004391,8192,5460,0.0,0.13748816,0.045515575,0.01737015,0.026387373,1
1_005660,8192,5460,,,,,,0
1_017232,8192,5460,,,,,,0
1_003986,8192,5460,0.0,0.4849315,0.023685068,0.01369863,0.020552963,1
1_004674,8192,5460,,,,,,0
1_009222,8192,5460,0.0,0.12177366,0.80811304,0.017483162,0.012701363,1
1_001014,5472,3648,0.0,0.46676305,0.88101953,0.015458798,0.022360055,1
1_003712,8192,5460,0.0,0.25972217,0.08576987,0.015155092,0.014765065,1
1_004205,8192,5460,,,,,,0
1_009273,8192,5460,,,,,,0
1_007997,8192,5460,,,,,,0
1_004750,8192,5460,,,,,,0
1_003721,8192,5460,,,,,,0
1_007936,8192,5460,,,,,,0
1_003875,8192,5460,0.0,0.077274226,0.70740116,0.014429735,0.017897224,1
1_006950,8192,5460,,,,,,0
1_001016,5472,3648,0.0,0.4248014,0.5604345,0.017851224,0.022083992,1
1_017394,8192,5460,0.0,0.8288172,0.02168801,0.014960386,0.014873857,1
1_003739,8192,5460,,,,,,0
1_001124,5472,3648,0.0,0.5350118,0.7711055,0.011962153,0.02594865,1
1_005034,8192,5460,,,,,,0
1_006483,8192,5460,0.0,0.40627185,0.83502764,0.013732534,0.031796,1
1_004015,8192,5460,0.0,0.89498335,0.42441028,0.011290594,0.01563693,1
1_000667,5472,3078,0.0,0.18279128,0.2833787,0.016747016,0.01701285,1
1_003635,8192,5460,,,,,,0
1_003138,8192,5460,0.0,0.35662568,0.76868016,0.021425799,0.021430997,1
1_000687,5472,3078,,,,,,0
1_002187,8192,5460,0.0,0.061598487,0.44639426,0.01101994,0.016279574,1
1_007406,8192,5460,0.0,0.8744148,0.49025008,0.0073823626,0.012379265,1
1_003954,8192,5460,0.0,0.371359,0.7810453,0.009148041,0.025339268,1
1_006393,8192,5460,0.0,0.7356678,0.81838495,0.017801447,0.012209658,1
1_003167,8192,5460,,,,,,0
1_002728,8192,5460,,,,,,0
1_000237,5472,3648,0.0,0.23328422,0.60606426,0.0134618655,0.015307456,1
1_007343,8192,5460,0.0,0.50320935,0.26057824,0.007798746,0.010683489,1
1_004713,8192,5460,,,,,,0
1_002370,8192,5460,0.0,0.4992679,0.38340047,0.010825086,0.017718088,1
1_000379,5472,3648,0.0,0.5294695,0.7914521,0.025028499,0.022360055,1
1_004083,8192,5460,0.0,0.52980024,0.8953044,0.014547516,0.028667824,1
1_004145,8192,5460,0.0,0.28359827,0.919316,0.01758728,0.021826603,1
1_004980,8192,5460,,,,,,0
1_004906,8192,5460,,,,,,0
1_007300,8192,5460,0.0,0.7663116,0.29863545,0.0077987043,0.015516459,1
1_007843,8192,5460,,,,,,0
1_004415,8192,5460,0.0,0.37054282,0.1868647,0.007816596,0.012053492,1
1_005017,8192,5460,,,,,,0
1_004689,8192,5460,,,,,,0
1_005013,8192,5460,,,,,,0
1_000820,5472,3078,,,,,,0
1_005006,8192,5460,,,,,,0
1_007325,8192,5460,0.0,0.47038743,0.6544682,0.0052556703,0.0071222843,1
1_017186,8192,5460,,,,,,0
1_002883,8192,5460,,,,,,0
1_002607,8192,5460,0.0,0.7267328,0.26162547,0.015078694,0.014187664,1
1_006593,8192,5460,0.0,0.70587003,0.10776429,0.016953768,0.011192209,1
1_006212,8192,5460,,,,,,0
1_017406,8192,5460,,,,,,0
1_003479,8192,5460,0.0,0.67211264,0.39290905,0.010108594,0.012297292,1
1_005222,8192,5460,,,,,,0
1_004155,8192,5460,,,,,,0
1_007255,8192,5460,,,,,,0
1_006400,8192,5460,0.0,0.7804512,0.63107145,0.014586482,0.030448845,1
1_005568,8192,5460,,,,,,0
1_003797,8192,5460,,,,,,0
1_004870,8192,5460,,,,,,0
1_002412,8192,5460,0.0,0.9140411,0.6068754,0.014383562,0.021580612,1
1_005876,8192,5460,,,,,,0
1_004477,8192,5460,0.0,0.5685434,0.34147078,0.010082686,0.015505892,1
1_017481,8192,5460,,,,,,0
1_007727,8192,5460,0.0,0.45659587,0.3607162,0.012376215,0.013227176,1
1_002516,8192,5460,,,,,,0
1_007443,8192,5460,0.0,0.03607748,0.037168108,0.007120574,0.010937838,1
1_002331,8192,5460,,,,,,0
1_007795,8192,5460,0.0,0.29876548,0.22021188,0.007120566,0.019586377,1
