id,width,height,class,x,y,w,h
0,640,640,0,0.81796875,0.22578125,0.1078125,0.1484375
0,640,640,0,0.034375,0.37265625,0.06875,0.1140625
1,640,640,0,0.81171875,0.27890625,0.1046875,0.1140625
1,640,640,0,0.4703125,0.7484375,0.13125,0.146875
2,640,640,0,0.54921875,0.93828125,0.1046875,0.1140625
3,640,640,0,0.78828125,0.28515625,0.1203125,0.1046875
4,640,640,0,0.50546875,0.79609375,0.1359375,0.0984375
5,640,640,0,0.4875,0.61328125,0.1375,0.1296875
6,640,640,0,0.55078125,0.309375,0.0953125,0.178125
7,640,640,0,0.078125,0.54765625,0.103125,0.1109375
8,640,640,0,0.046875,0.74140625,0.09375,0.0921875
8,640,640,0,0.896875,0.64765625,0.103125,0.1109375
8,640,640,0,0.49921875,0.49375,0.0734375,0.103125
9,640,640,0,0.78515625,0.53359375,0.1328125,0.0921875
10,640,640,0,0.54296875,0.6625,0.2046875,0.1125
11,640,640,0,0.6125,0.89453125,0.053125,0.0609375
11,640,640,0,0.7296875,0.7921875,0.0375,0.09375
12,640,640,0,0.94375,0.1046875,0.0375,0.09375
12,640,640,0,0.8265625,0.20703125,0.053125,0.0609375
13,640,640,0,0.740625,0.70703125,0.1125,0.1140625
14,640,640,0,0.159375,0.6265625,0.0625,0.071875
14,640,640,0,0.83828125,0.67890625,0.0859375,0.0578125
14,640,640,0,0.31328125,0.57109375,0.0921875,0.0703125
14,640,640,0,0.5640625,0.65546875,0.075,0.0609375
15,640,640,0,0.41171875,0.11015625,0.0921875,0.0703125
15,640,640,0,0.2578125,0.165625,0.0625,0.071875
15,640,640,0,0.075,0.171875,0.08125,0.071875
15,640,640,0,0.93671875,0.21796875,0.0859375,0.0578125
15,640,640,0,0.6625,0.19453125,0.075,0.0609375
16,640,640,0,0.165625,0.896875,0.08125,0.1
17,640,640,0,0.71015625,0.09609375,0.0859375,0.0578125
17,640,640,0,0.03125,0.04375,0.0625,0.071875
17,640,640,0,0.4359375,0.07265625,0.075,0.0609375
18,640,640,0,0.9375,0.590625,0.0625,0.071875
18,640,640,0,0.51796875,0.52421875,0.0859375,0.0671875
18,640,640,0,0.24453125,0.31640625,0.0765625,0.1140625
18,640,640,0,0.7546875,0.596875,0.08125,0.071875
19,640,640,0,0.8,0.86328125,0.075,0.0609375
19,640,640,0,0.54921875,0.77890625,0.0921875,0.0703125
19,640,640,0,0.3953125,0.834375,0.0625,0.071875
19,640,640,0,0.2125,0.840625,0.08125,0.071875
20,640,640,0,0.12734375,0.23203125,0.0859375,0.0671875
20,640,640,0,0.9515625,0.32734375,0.075,0.0609375
20,640,640,0,0.546875,0.2984375,0.0625,0.071875
20,640,640,0,0.3640625,0.3046875,0.08125,0.071875
20,640,640,0,0.70078125,0.24296875,0.0921875,0.0703125
21,640,640,0,0.42109375,0.76953125,0.0859375,0.0671875
21,640,640,0,0.840625,0.8359375,0.0625,0.071875
21,640,640,0,0.6578125,0.8421875,0.08125,0.071875
21,640,640,0,0.97421875,0.78046875,0.0515625,0.0703125
21,640,640,0,0.14765625,0.56171875,0.0765625,0.1140625
22,640,640,0,0.16796875,0.56484375,0.0640625,0.0484375
22,640,640,0,0.49140625,0.584375,0.0953125,0.059375
22,640,640,0,0.3390625,0.5328125,0.090625,0.0875
22,640,640,0,0.840625,0.628125,0.115625,0.08125
24,640,640,0,0.2203125,0.28359375,0.0875,0.0890625
24,640,640,0,0.47578125,0.3421875,0.0921875,0.071875
24,640,640,0,0.96171875,0.3453125,0.0765625,0.059375
24,640,640,0,0.81875,0.29375,0.090625,0.0875
24,640,640,0,0.64765625,0.32578125,0.0640625,0.0484375
25,640,640,0,0.90859375,0.39921875,0.0640625,0.0484375
25,640,640,0,0.2203125,0.1671875,0.08125,0.13125
25,640,640,0,0.48125,0.35703125,0.0875,0.0890625
25,640,640,0,0.73671875,0.415625,0.0921875,0.071875
26,640,640,0,0.0578125,0.60234375,0.0875,0.0890625
26,640,640,0,0.80859375,0.6640625,0.0953125,0.059375
26,640,640,0,0.31328125,0.6609375,0.0921875,0.071875
26,640,640,0,0.48515625,0.64453125,0.0640625,0.0484375
26,640,640,0,0.65625,0.6125,0.090625,0.0875
28,640,640,0,0.4953125,0.75625,0.115625,0.08125
28,640,640,0,0.14609375,0.7125,0.0953125,0.059375
29,640,640,0,0.5453125,0.7453125,0.090625,0.0875
29,640,640,0,0.20234375,0.79375,0.0921875,0.071875
29,640,640,0,0.69765625,0.796875,0.0953125,0.059375
29,640,640,0,0.37421875,0.77734375,0.0640625,0.0484375
30,640,640,0,0.603125,0.3046875,0.13125,0.090625
31,640,640,0,0.128125,0.4203125,0.178125,0.071875
32,640,640,0,0.2125,0.6734375,0.078125,0.1375
33,640,640,0,0.45234375,0.290625,0.0671875,0.134375
33,640,640,0,0.13515625,0.7375,0.1296875,0.1625
35,640,640,0,0.91875,0.4984375,0.109375,0.18125
35,640,640,0,0.08671875,0.625,0.0671875,0.134375
36,640,640,0,0.796875,0.54609375,0.11875,0.1578125
37,640,640,0,0.084375,0.57734375,0.16875,0.0953125
38,640,640,0,0.38828125,0.625,0.0828125,0.0625
38,640,640,0,0.89921875,0.72734375,0.1046875,0.0671875
38,640,640,0,0.63125,0.7109375,0.065625,0.053125
38,640,640,0,0.1484375,0.684375,0.084375,0.065625
38,640,640,0,0.11796875,0.853125,0.0953125,0.08125
39,640,640,0,0.090625,0.2109375,0.065625,0.053125
39,640,640,0,0.35859375,0.22734375,0.1046875,0.0671875
39,640,640,0,0.71640625,0.26796875,0.0453125,0.0578125
39,640,640,0,0.84140625,0.31953125,0.0828125,0.0703125
40,640,640,0,0.2015625,0.6875,0.065625,0.053125
