                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7427,                 1.6556,                 1.8185,                0.18159,                0.70368,                0.15922,                 0.0797,                 1.4815,                    inf,                 2.4916,             0.00066106,             0.00066106,             0.00066106
                      2,                 1.6555,                 1.2209,                 1.7858,                0.71788,                0.68034,                0.71401,                0.36225,                 1.5373,                 1.1355,                 1.6381,               0.001319,               0.001319,               0.001319
                      3,                 1.6323,                  1.194,                 1.7669,                0.57326,                0.53487,                 0.5365,                0.25563,                 1.6162,                 2.5688,                 1.6759,              0.0019681,              0.0019681,              0.0019681
                      4,                 1.6406,                 1.1941,                 1.7638,                0.69698,                0.72583,                0.74678,                0.38176,                 1.4927,                 1.2958,                 1.5515,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.6043,                 1.1438,                 1.7342,                0.72257,                0.72186,                0.75298,                0.37554,                 1.5062,                  1.028,                 1.5478,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5669,                 1.0813,                 1.7016,                 0.7724,                0.72942,                0.81056,                0.43356,                 1.5876,                0.92374,                 1.6118,              0.0019472,              0.0019472,              0.0019472
                      7,                 1.5255,                 1.0196,                 1.6643,                0.77566,                0.76115,                0.82179,                0.44302,                 1.5691,                 0.8511,                 1.6048,               0.001934,               0.001934,               0.001934
                      8,                 1.5206,                 1.0111,                 1.6568,                0.80059,                0.76668,                0.84687,                0.49414,                 1.4064,                0.85601,                 1.4816,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.5013,                0.98072,                  1.641,                0.79268,                0.76564,                0.83797,                0.47938,                 1.4538,                0.80719,                 1.5193,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.4741,                0.95258,                 1.6205,                0.81873,                0.80395,                0.87169,                0.50222,                  1.485,                0.77413,                 1.5124,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.4526,                0.91732,                  1.598,                0.85605,                0.79258,                0.88075,                0.51806,                 1.4325,                0.72194,                 1.4896,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.4323,                0.89992,                 1.5837,                0.82654,                0.81532,                0.88523,                0.54562,                 1.3552,                0.68954,                 1.4369,               0.001868,               0.001868,               0.001868
                     13,                 1.4136,                0.86391,                 1.5756,                0.85305,                0.83807,                0.89807,                0.51928,                 1.5179,                0.72105,                 1.5247,              0.0018548,              0.0018548,              0.0018548
                     14,                 1.4054,                0.84995,                 1.5649,                0.86797,                0.84213,                0.90551,                0.58373,                 1.2885,                0.66349,                 1.3859,              0.0018416,              0.0018416,              0.0018416
                     15,                 1.3903,                0.84519,                 1.5495,                0.86227,                0.85513,                0.91551,                 0.5612,                  1.363,                0.68096,                 1.4345,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.3781,                0.81544,                 1.5463,                0.88211,                0.84207,                0.90757,                0.54902,                 1.4849,                0.65383,                 1.5187,              0.0018152,              0.0018152,              0.0018152
                     17,                 1.3502,                0.80311,                 1.5198,                0.89237,                0.85244,                0.91818,                0.56281,                 1.3554,                0.62749,                 1.4337,               0.001802,               0.001802,               0.001802
                     18,                 1.3336,                0.78709,                 1.5043,                0.87541,                0.86435,                0.91174,                0.58593,                 1.3078,                 0.6746,                 1.3875,              0.0017888,              0.0017888,              0.0017888
                     19,                 1.3255,                0.76815,                 1.5029,                0.89956,                0.87309,                 0.9264,                0.62045,                  1.215,                0.59759,                 1.3429,              0.0017756,              0.0017756,              0.0017756
                     20,                 1.3086,                0.75422,                 1.4954,                0.89004,                0.86246,                0.92119,                0.60865,                 1.2692,                0.60525,                 1.3596,              0.0017624,              0.0017624,              0.0017624
                     21,                 1.2914,                 0.7463,                  1.477,                0.92062,                0.88297,                0.93693,                0.60085,                 1.4059,                0.60854,                 1.4775,              0.0017492,              0.0017492,              0.0017492
                     22,                  1.293,                0.72764,                 1.4795,                0.92776,                0.88405,                0.94413,                0.66723,                 1.1179,                0.54729,                  1.286,               0.001736,               0.001736,               0.001736
                     23,                  1.256,                0.71286,                  1.452,                0.90822,                0.87672,                0.93693,                0.65918,                 1.1479,                0.55144,                 1.3001,              0.0017228,              0.0017228,              0.0017228
                     24,                 1.2529,                0.70768,                 1.4464,                0.93433,                0.89434,                0.94422,                0.65316,                 1.1938,                0.51907,                 1.3134,              0.0017096,              0.0017096,              0.0017096
                     25,                 1.2371,                 0.7036,                 1.4399,                0.91833,                0.88327,                 0.9372,                0.65544,                 1.1201,                0.55241,                  1.272,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.2297,                0.67619,                 1.4272,                0.91602,                0.89135,                 0.9392,                0.66083,                 1.1793,                0.55291,                 1.3018,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.2184,                0.67563,                 1.4211,                0.94406,                0.89914,                0.94896,                0.68312,                 1.1258,                0.51081,                 1.2711,                0.00167,                0.00167,                0.00167
                     28,                 1.2101,                0.65799,                 1.4106,                 0.9426,                0.89464,                0.94973,                0.69325,                  1.078,                0.51285,                  1.261,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.2086,                 0.6636,                 1.4156,                0.94301,                0.89494,                0.94139,                0.68997,                 1.0657,                0.49955,                 1.2447,              0.0016436,              0.0016436,              0.0016436
                     30,                 1.1859,                0.64084,                 1.3992,                0.94934,                0.90691,                0.94908,                0.69424,                 1.1224,                0.48264,                  1.261,              0.0016304,              0.0016304,              0.0016304
                     31,                 1.1808,                0.64268,                 1.3929,                 0.9474,                0.90302,                0.94789,                0.69437,                 1.0825,                0.48786,                 1.2395,              0.0016172,              0.0016172,              0.0016172
                     32,                 1.1619,                0.63861,                 1.3768,                0.96252,                0.89925,                0.94873,                0.67941,                  1.139,                0.48111,                 1.2746,               0.001604,               0.001604,               0.001604
                     33,                 1.1567,                0.63031,                 1.3743,                0.94708,                0.90153,                0.94445,                0.66645,                 1.1658,                0.51407,                 1.2971,              0.0015908,              0.0015908,              0.0015908
