                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7818,                 3.5737,                 0.8623,                0.59627,                0.49255,                0.46285,                0.18488,                 2.2672,                 1.7321,                 1.0276,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.6598,                 1.5366,                0.80967,                0.60067,                 0.5567,                0.53752,                0.22502,                 2.2366,                 1.7196,                  1.002,              0.0065991,              0.0065991,              0.0065991
                      3,                 1.7417,                 1.6775,                0.83541,                0.52167,                0.46964,                0.44579,                0.13763,                 2.4513,                 2.1908,                 1.0809,              0.0098005,              0.0098005,              0.0098005
                      4,                 1.8732,                 1.8157,                0.87464,                0.52478,                 0.4559,                0.36368,                0.11004,                 2.7303,                 1.9379,                   1.18,               0.009703,               0.009703,               0.009703
                      5,                 1.8308,                 1.6781,                 0.8513,                0.54468,                0.45361,                0.41004,                 0.1291,                 2.5234,                 1.6465,                 1.0721,               0.009703,               0.009703,               0.009703
                      6,                 1.7958,                 1.5968,                0.84344,                0.53606,                0.43872,                0.39748,                0.13307,                 2.6336,                 1.8933,                 1.1071,               0.009604,               0.009604,               0.009604
                      7,                  1.754,                 1.5023,                0.83737,                0.58848,                0.47995,                0.45466,                0.14994,                 2.5682,                 1.7811,                 1.0906,               0.009505,               0.009505,               0.009505
                      8,                 1.7774,                 1.5077,                0.84642,                0.55538,                0.50079,                0.43703,                0.14923,                 2.6433,                 1.8692,                 1.1052,               0.009406,               0.009406,               0.009406
                      9,                 1.7472,                 1.4695,                0.83904,                0.57409,                0.44903,                0.38585,                0.12335,                 2.6864,                 1.7849,                 1.1528,               0.009307,               0.009307,               0.009307
                     10,                 1.7117,                 1.4281,                0.81703,                0.50515,                0.47766,                0.40376,                0.13601,                 2.5307,                   1.95,                 1.1318,               0.009208,               0.009208,               0.009208
                     11,                 1.7025,                 1.4088,                 0.8334,                0.53249,                0.43184,                0.40485,                0.13446,                 2.4912,                 1.9286,                 1.0866,               0.009109,               0.009109,               0.009109
                     12,                 1.6612,                 1.3451,                0.80873,                0.54535,                0.43872,                0.39927,                0.14007,                 2.4948,                 2.0221,                 1.0749,                0.00901,                0.00901,                0.00901
                     13,                  1.674,                 1.3205,                0.81873,                0.50018,                0.37457,                0.35489,                0.12936,                 2.4721,                 2.5294,                 1.0795,               0.008911,               0.008911,               0.008911
                     14,                 1.6622,                 1.3046,                0.81657,                0.61082,                0.51958,                0.49246,                0.17828,                 2.3562,                 1.7666,                 1.0458,               0.008812,               0.008812,               0.008812
                     15,                 1.6553,                 1.3104,                0.81566,                0.64075,                0.52302,                0.51006,                0.17464,                 2.4415,                 1.7614,                 1.0859,               0.008713,               0.008713,               0.008713
                     16,                 1.6447,                 1.3188,                0.81523,                0.63117,                0.47194,                0.48984,                0.19658,                 2.2898,                 1.6713,                 1.0349,               0.008614,               0.008614,               0.008614
                     17,                 1.6685,                 1.3104,                 0.8262,                0.59373,                 0.5022,                0.46098,                0.16031,                 2.3977,                 1.6748,                 1.0837,               0.008515,               0.008515,               0.008515
                     18,                 1.6305,                 1.2735,                0.80767,                0.48199,                0.38476,                0.33273,                0.11413,                 2.4945,                 2.0881,                 1.0861,               0.008416,               0.008416,               0.008416
