                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7397,                 1.5588,                 1.6788,                0.58873,                0.66717,                0.54195,                0.27339,                 1.5033,                 1.5534,                 1.4682,             0.00066106,             0.00066106,             0.00066106
                      2,                 1.6059,                 1.1762,                 1.6142,                0.76108,                0.69412,                0.77173,                0.41061,                 1.5139,                 1.0015,                 1.4258,               0.001319,               0.001319,               0.001319
                      3,                 1.5958,                 1.1399,                 1.6047,                 0.6817,                0.59174,                0.64657,                0.34496,                   1.63,                 3.0279,                 1.5609,              0.0019681,              0.0019681,              0.0019681
                      4,                 1.5957,                 1.1527,                 1.5948,                0.77719,                0.73499,                 0.8161,                0.44406,                 1.4959,                   1.11,                 1.4303,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.5489,                  1.087,                 1.5576,                0.77267,                0.72044,                 0.8103,                0.46027,                 1.4553,                 1.0666,                 1.4175,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5316,                 1.0401,                 1.5422,                0.77615,                0.74259,                0.83387,                0.47543,                 1.4821,                0.86461,                  1.426,              0.0019472,              0.0019472,              0.0019472
                      7,                 1.4933,                0.99652,                 1.5148,                0.80547,                0.72129,                0.82376,                0.47674,                  1.377,                0.84418,                 1.3653,               0.001934,               0.001934,               0.001934
                      8,                 1.4675,                0.96449,                 1.4987,                 0.7786,                0.79785,                0.85222,                0.50886,                  1.341,                0.79654,                 1.3526,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.4592,                0.94775,                 1.4994,                0.79926,                0.81143,                0.87043,                0.54315,                 1.2369,                0.72037,                 1.2925,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.4076,                0.90599,                 1.4587,                0.87347,                0.77192,                0.88056,                0.55508,                 1.2682,                0.68962,                 1.2829,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.4068,                0.89287,                  1.456,                0.84195,                0.81158,                0.89648,                0.56739,                 1.2351,                0.68456,                 1.2841,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.3734,                0.87139,                 1.4333,                0.86647,                0.82909,                0.89967,                0.55764,                 1.3442,                0.67509,                 1.3154,               0.001868,               0.001868,               0.001868
                     13,                 1.3643,                0.84565,                 1.4351,                0.86213,                0.84788,                0.91288,                0.57236,                  1.289,                0.66082,                 1.3009,              0.0018548,              0.0018548,              0.0018548
                     14,                 1.3452,                0.82329,                  1.419,                 0.8821,                0.84945,                0.91599,                0.61279,                 1.1783,                0.62607,                 1.2257,              0.0018416,              0.0018416,              0.0018416
                     15,                 1.3252,                0.79912,                 1.3931,                 0.8724,                 0.8267,                0.89767,                0.56662,                 1.2502,                0.72968,                 1.2751,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.3123,                0.78531,                 1.3898,                0.89113,                  0.868,                 0.9223,                0.61573,                  1.191,                0.61092,                 1.2477,              0.0018152,              0.0018152,              0.0018152
                     17,                 1.2852,                0.77192,                 1.3784,                0.89233,                0.85962,                0.92055,                0.61768,                 1.1967,                0.61493,                 1.2472,               0.001802,               0.001802,               0.001802
                     18,                 1.2758,                0.76084,                 1.3671,                0.92014,                0.83688,                0.91431,                0.62962,                 1.1406,                0.60783,                 1.2049,              0.0017888,              0.0017888,              0.0017888
                     19,                 1.2697,                0.73882,                 1.3576,                0.92237,                0.87519,                0.93085,                0.65766,                 1.0938,                0.54642,                 1.1945,              0.0017756,              0.0017756,              0.0017756
                     20,                  1.254,                0.72882,                 1.3551,                0.90943,                0.85753,                0.92514,                0.65275,                 1.0973,                0.54717,                 1.2018,              0.0017624,              0.0017624,              0.0017624
                     21,                 1.2352,                 0.7117,                  1.339,                0.90782,                0.84705,                0.91634,                0.63518,                 1.1506,                0.57624,                 1.2267,              0.0017492,              0.0017492,              0.0017492
                     22,                 1.2501,                0.70699,                 1.3523,                0.92498,                0.89308,                0.94136,                0.68011,                 1.0468,                 0.5385,                 1.1568,               0.001736,               0.001736,               0.001736
                     23,                 1.2151,                0.69281,                 1.3295,                0.93072,                0.89015,                0.94564,                0.68696,                 1.0462,                0.51751,                 1.1539,              0.0017228,              0.0017228,              0.0017228
                     24,                 1.2072,                0.68482,                 1.3185,                 0.9369,                0.90093,                 0.9475,                0.68883,                 1.0647,                0.51445,                 1.1574,              0.0017096,              0.0017096,              0.0017096
                     25,                  1.213,                0.68837,                 1.3311,                0.94254,                0.88566,                0.94257,                0.68373,                 1.0539,                0.54402,                 1.1537,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.1828,                0.65423,                 1.2977,                0.91937,                 0.8704,                0.93121,                0.67581,                 1.0691,                0.54506,                  1.176,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.1717,                0.65304,                 1.2976,                0.95138,                0.88057,                0.93898,                 0.6898,                 1.0481,                0.48951,                 1.1613,                0.00167,                0.00167,                0.00167
                     28,                 1.1642,                0.63707,                 1.2915,                0.94791,                0.90841,                  0.951,                0.71122,                0.98593,                0.48357,                 1.1295,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.1578,                0.63626,                 1.2883,                0.95076,                0.88428,                0.93628,                0.70582,                0.99088,                0.49765,                 1.1345,              0.0016436,              0.0016436,              0.0016436
                     30,                 1.1417,                0.62691,                 1.2819,                0.94943,                0.92152,                0.96226,                0.72371,                 1.0165,                0.47263,                 1.1342,              0.0016304,              0.0016304,              0.0016304
                     31,                 1.1464,                0.61835,                 1.2737,                0.95226,                 0.9126,                0.95657,                 0.7147,                 1.0096,                0.47709,                 1.1242,              0.0016172,              0.0016172,              0.0016172
                     32,                 1.1279,                0.62221,                 1.2709,                0.95985,                0.91588,                0.96139,                0.71575,                 1.0441,                0.47379,                 1.1477,               0.001604,               0.001604,               0.001604
                     33,                  1.122,                0.61432,                  1.266,                0.94342,                0.91589,                0.95506,                0.72223,                 1.0072,                0.48456,                 1.1279,              0.0015908,              0.0015908,              0.0015908
                     34,                 1.1104,                 0.5989,                 1.2502,                0.95332,                0.91686,                0.96344,                0.73831,                0.95646,                0.45214,                 1.1097,              0.0015776,              0.0015776,              0.0015776
                     35,                 1.1104,                0.60211,                 1.2603,                0.95669,                0.91896,                0.96357,                0.71926,                 1.0116,                  0.471,                  1.123,              0.0015644,              0.0015644,              0.0015644
