                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5871,                   1.28,                 1.7312,                0.81763,                0.75472,                0.83191,                0.49309,                 1.4737,                0.97364,                 1.5698,              0.0033272,              0.0033272,              0.0033272
                      2,                 1.4813,                 1.0648,                 1.6322,                0.86327,                0.81422,                 0.8841,                0.53572,                 1.4444,                0.85086,                  1.566,              0.0066166,              0.0066166,              0.0066166
                      3,                    1.5,                 1.1065,                 1.6574,                0.85919,                  0.791,                0.85526,                0.51113,                 1.4456,                0.95292,                 1.5559,              0.0098619,              0.0098619,              0.0098619
                      4,                 1.5544,                 1.1745,                 1.6987,                0.82073,                0.75751,                0.84027,                0.49466,                 1.4844,                 1.0105,                 1.5252,               0.009802,               0.009802,               0.009802
                      5,                 1.5828,                 1.1857,                 1.7174,                  0.893,                0.78665,                0.89238,                0.54328,                 1.4336,                0.87125,                 1.5506,               0.009802,               0.009802,               0.009802
                      6,                 1.5503,                 1.1531,                 1.6784,                0.87551,                0.74601,                0.84966,                0.50306,                 1.4436,                0.95187,                 1.5294,               0.009736,               0.009736,               0.009736
                      7,                 1.5358,                 1.1031,                 1.6674,                0.84858,                0.80552,                0.86233,                0.50918,                 1.4537,                 1.0195,                 1.5547,                0.00967,                0.00967,                0.00967
                      8,                 1.5215,                 1.1078,                  1.651,                0.86086,                0.80987,                0.87527,                0.53378,                 1.4771,                0.85572,                 1.5491,               0.009604,               0.009604,               0.009604
                      9,                  1.499,                 1.0734,                 1.6441,                0.84624,                0.78282,                0.87129,                0.51141,                 1.4889,                0.88854,                 1.5419,               0.009538,               0.009538,               0.009538
                     10,                 1.5092,                 1.0449,                 1.6244,                0.91145,                0.82438,                 0.9139,                0.52539,                 1.5087,                0.79784,                 1.5476,               0.009472,               0.009472,               0.009472
                     11,                 1.4988,                 1.0361,                 1.6413,                0.85925,                0.86502,                0.91773,                0.53893,                 1.4797,                0.80159,                 1.5651,               0.009406,               0.009406,               0.009406
                     12,                 1.4763,                 1.0141,                 1.6097,                0.91671,                0.79875,                0.90037,                0.57044,                 1.3643,                0.81794,                 1.4477,                0.00934,                0.00934,                0.00934
                     13,                 1.4791,                0.97959,                 1.5863,                0.87972,                0.81713,                0.89953,                0.55828,                 1.3905,                0.78968,                 1.4802,               0.009274,               0.009274,               0.009274
                     14,                 1.4645,                0.96844,                 1.5837,                0.90533,                0.82874,                0.91793,                   0.55,                 1.4437,                0.80089,                 1.4792,               0.009208,               0.009208,               0.009208
