                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0243,                 1.9293,                 1.9553,                0.74342,                0.70247,                0.75467,                0.43182,                 1.5168,                   1.43,                 1.5619,              0.0033272,              0.0033272,              0.0033272
                      2,                 1.8741,                    1.6,                 1.8332,                0.86543,                0.75605,                0.84155,                 0.4809,                 1.5236,                 1.2638,                 1.6014,              0.0066166,              0.0066166,              0.0066166
                      3,                 1.8616,                  1.657,                 1.8091,                0.81438,                0.73004,                0.77418,                0.43713,                 1.5208,                 2.8393,                  1.583,              0.0098619,              0.0098619,              0.0098619
                      4,                 1.8963,                 1.7637,                 1.8331,                0.76939,                0.69727,                0.76862,                0.37475,                  1.765,                 1.4501,                 1.7133,               0.009802,               0.009802,               0.009802
                      5,                 1.8566,                 1.7397,                 1.7511,                0.81336,                0.65147,                0.74071,                0.38972,                 1.6885,                 1.4818,                 1.7293,               0.009802,               0.009802,               0.009802
                      6,                 1.8467,                 1.6933,                 1.7576,                0.83173,                0.75617,                0.80504,                0.43567,                 1.6916,                 1.4349,                 1.7183,               0.009736,               0.009736,               0.009736
                      7,                 1.8303,                 1.6748,                 1.7359,                0.83715,                0.75181,                0.82497,                0.43353,                 1.6857,                 1.2009,                 1.7141,                0.00967,                0.00967,                0.00967
                      8,                 1.8074,                 1.6495,                 1.7268,                0.77543,                0.72714,                0.76114,                0.35176,                 1.8298,                  1.209,                 1.8444,               0.009604,               0.009604,               0.009604
                      9,                  1.797,                 1.6508,                 1.7256,                0.83153,                0.75181,                0.82632,                0.43921,                  1.669,                 1.1026,                 1.7251,               0.009538,               0.009538,               0.009538
                     10,                 1.7852,                 1.6163,                 1.7242,                0.86008,                0.79245,                0.86125,                0.45403,                 1.7171,                0.98952,                 1.6975,               0.009472,               0.009472,               0.009472
                     11,                 1.7848,                  1.622,                  1.696,                0.79348,                0.72569,                0.80497,                0.36885,                 1.8507,                 1.4632,                  1.878,               0.009406,               0.009406,               0.009406
                     12,                 1.7669,                 1.6061,                 1.7033,                0.85408,                0.77649,                0.84284,                0.43634,                 1.7204,                 1.1355,                 1.7438,                0.00934,                0.00934,                0.00934
