                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8351,                 1.7069,                  1.714,                0.55805,                0.60847,                0.53526,                0.17918,                 1.9057,                 1.1879,                 1.7504,              0.0033205,              0.0033205,              0.0033205
                      2,                 1.5331,                0.98134,                 1.4385,                0.66235,                0.63804,                 0.6171,                0.19832,                 2.0529,                 1.0617,                 1.8849,              0.0066209,              0.0066209,              0.0066209
                      3,                 1.4977,                 0.9256,                 1.4204,                0.48318,                0.57397,                0.47868,                0.15262,                 2.0514,                 1.6046,                    1.9,              0.0098883,              0.0098883,              0.0098883
                      4,                 1.4612,                0.92094,                  1.405,                0.54993,                0.59319,                0.51903,                0.16915,                 2.0174,                 1.1294,                 1.9903,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4362,                0.88303,                 1.3908,                0.61513,                0.60074,                0.57023,                0.19458,                 1.9002,                 1.1518,                 1.8852,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3814,                0.81608,                 1.3577,                 0.5985,                0.60777,                0.53974,                0.17155,                 1.9098,                  1.154,                 1.9182,               0.009802,               0.009802,               0.009802
                      7,                 1.3496,                0.79426,                 1.3514,                 0.6525,                0.64938,                0.60147,                 0.1933,                  2.015,                  1.034,                 2.0997,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3253,                0.77412,                 1.3365,                0.64603,                0.63164,                0.58181,                0.18416,                 1.9012,                 1.0077,                 2.0445,               0.009703,               0.009703,               0.009703
                      9,                  1.293,                0.73315,                 1.3109,                0.59725,                0.55495,                0.52167,                0.17461,                 1.9044,                 1.0878,                 1.9933,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2692,                0.70655,                 1.3011,                0.61623,                0.62376,                0.60221,                0.19437,                 1.8739,                 1.2557,                 1.9157,               0.009604,               0.009604,               0.009604
                     11,                 1.2628,                0.71026,                 1.3052,                0.56816,                0.64242,                0.55153,                0.19716,                 1.8366,                 1.0237,                 1.9134,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2387,                0.69183,                 1.2836,                0.58301,                 0.6093,                 0.5309,                 0.1742,                 1.9246,                 1.0485,                 2.1098,               0.009505,               0.009505,               0.009505
                     13,                 1.2231,                0.66115,                 1.2767,                0.59739,                0.63988,                0.53521,                0.17362,                 1.8759,                 1.0867,                 2.0263,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1911,                0.64156,                  1.257,                0.58514,                0.62706,                0.53724,                0.19016,                 1.8376,                 1.0886,                 1.9531,               0.009406,               0.009406,               0.009406
                     15,                 1.1788,                 0.6463,                 1.2607,                0.63675,                0.61424,                 0.5715,                0.19912,                 1.8646,                 1.0126,                 2.0518,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1907,                0.64291,                 1.2712,                0.55779,                0.58127,                0.51541,                 0.1769,                 1.8787,                 1.0666,                 2.0945,               0.009307,               0.009307,               0.009307
                     17,                 1.1646,                0.62006,                 1.2524,                0.58483,                0.65532,                0.54878,                0.18708,                 1.7957,                 1.0948,                 2.0403,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.1511,                0.61688,                 1.2456,                0.58856,                0.62883,                0.54461,                0.18395,                 1.8195,                  1.133,                 2.0554,               0.009208,               0.009208,               0.009208
                     19,                 1.1258,                0.59762,                 1.2281,                0.56231,                0.65929,                0.56719,                0.20686,                 1.7878,                 1.0478,                 2.0646,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.1426,                0.60386,                 1.2377,                0.61507,                0.58074,                0.52982,                0.17512,                 1.8756,                 1.0281,                 2.1978,               0.009109,               0.009109,               0.009109
                     21,                 1.1138,                0.58308,                 1.2283,                0.62941,                0.61681,                 0.5771,                0.17568,                 1.9287,                 1.0599,                 2.3429,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.1202,                0.58785,                 1.2194,                0.55562,                 0.5639,                 0.4773,                0.15907,                 1.8733,                 1.2005,                 2.1056,                0.00901,                0.00901,                0.00901
                     23,                 1.1196,                0.59454,                 1.2271,                0.64758,                 0.6309,                0.58637,                0.18946,                 1.8718,                 1.0659,                  2.149,              0.0089605,              0.0089605,              0.0089605
                     24,                  1.086,                0.56393,                 1.1998,                 0.6081,                0.61937,                0.57509,                 0.1902,                  1.866,                 1.0015,                 2.2094,               0.008911,               0.008911,               0.008911
                     25,                 1.0923,                0.56364,                 1.2136,                0.56027,                0.60436,                0.51766,                 0.1776,                 1.8326,                 1.0641,                 2.1342,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.1001,                0.56971,                 1.2211,                0.59467,                0.62431,                0.55524,                0.18476,                 1.8407,                 1.0666,                 2.2376,               0.008812,               0.008812,               0.008812
