                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8227,                 2.0188,                 1.5095,                0.69527,                0.62692,                0.69328,                0.35494,                 1.5054,                 1.2382,                 1.2196,             0.00066106,             0.00066106,             0.00066106
                      2,                 1.6477,                 1.3312,                 1.4056,                0.73584,                0.66926,                0.74703,                0.36234,                 1.6761,                 1.1074,                 1.2824,               0.001319,               0.001319,               0.001319
                      3,                 1.6373,                 1.2336,                 1.3942,                0.80709,                0.57528,                0.71068,                0.33349,                  1.727,                 1.2325,                  1.343,              0.0019681,              0.0019681,              0.0019681
                      4,                 1.6231,                 1.2153,                 1.4067,                0.75596,                0.71948,                0.78735,                0.41412,                 1.4995,                 1.0483,                 1.2537,              0.0019604,              0.0019604,              0.0019604
                      5,                   1.59,                 1.1318,                 1.3779,                0.78537,                0.68812,                0.77729,                0.42204,                 1.4648,                0.88704,                 1.2154,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5624,                 1.0779,                 1.3663,                0.81491,                 0.7381,                0.83919,                0.46939,                  1.448,                0.83888,                 1.1911,              0.0019472,              0.0019472,              0.0019472
                      7,                 1.5278,                 1.0461,                  1.349,                0.81654,                0.72733,                0.82066,                0.43277,                 1.5171,                0.95283,                 1.2429,               0.001934,               0.001934,               0.001934
                      8,                 1.5113,                 1.0427,                 1.3338,                0.78232,                0.76266,                0.83272,                0.49284,                 1.2969,                0.83133,                 1.1506,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.5119,                 1.0107,                  1.339,                 0.8312,                0.70997,                 0.8244,                0.47555,                 1.4134,                0.82659,                 1.1982,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.4711,                0.97412,                 1.3117,                0.81767,                0.78391,                0.86705,                0.52075,                 1.2999,                0.76309,                 1.1408,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.4651,                0.95598,                 1.3093,                0.83439,                0.75249,                0.84617,                0.48599,                 1.3839,                0.77855,                 1.1799,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.4446,                0.95393,                  1.292,                0.82618,                0.78509,                0.86856,                0.51274,                 1.3526,                 0.7509,                 1.1561,               0.001868,               0.001868,               0.001868
                     13,                 1.4323,                0.91291,                 1.2877,                0.84939,                0.76115,                0.86744,                0.48639,                 1.4577,                0.78155,                 1.1888,              0.0018548,              0.0018548,              0.0018548
                     14,                 1.4296,                 0.9208,                 1.2868,                0.83006,                0.79968,                0.87419,                0.53738,                  1.307,                0.71939,                 1.1399,              0.0018416,              0.0018416,              0.0018416
                     15,                 1.4076,                0.88783,                 1.2655,                0.87164,                 0.7839,                0.88105,                0.53677,                 1.3185,                0.71741,                 1.1309,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.3924,                 0.8647,                 1.2555,                0.85447,                0.83358,                0.90344,                0.56284,                   1.27,                0.68185,                 1.1101,              0.0018152,              0.0018152,              0.0018152
                     17,                 1.3837,                0.86884,                 1.2553,                0.86505,                0.81159,                0.89941,                0.55222,                 1.3111,                0.68046,                 1.1196,               0.001802,               0.001802,               0.001802
                     18,                  1.375,                0.86058,                 1.2509,                0.84844,                0.82939,                0.89326,                0.57844,                 1.1706,                0.66452,                 1.0885,              0.0017888,              0.0017888,              0.0017888
                     19,                 1.3678,                0.83362,                 1.2486,                0.87582,                0.83592,                0.91268,                0.59981,                 1.1688,                 0.6343,                 1.0744,              0.0017756,              0.0017756,              0.0017756
                     20,                 1.3548,                0.82877,                 1.2423,                0.86474,                0.82341,                0.90173,                0.59072,                 1.1763,                0.63977,                 1.0783,              0.0017624,              0.0017624,              0.0017624
                     21,                 1.3385,                0.81292,                 1.2241,                0.89477,                0.83986,                0.91555,                0.60426,                 1.1876,                0.62464,                 1.0779,              0.0017492,              0.0017492,              0.0017492
                     22,                 1.3592,                0.81218,                 1.2362,                0.87256,                0.85124,                 0.9133,                0.60992,                 1.1215,                0.60124,                 1.0544,               0.001736,               0.001736,               0.001736
                     23,                  1.327,                0.79427,                 1.2192,                0.89034,                0.84047,                0.92016,                0.62607,                 1.1084,                0.60391,                 1.0471,              0.0017228,              0.0017228,              0.0017228
                     24,                 1.3294,                0.79288,                 1.2143,                0.87775,                0.84026,                0.91192,                0.59646,                 1.2176,                0.61988,                 1.0771,              0.0017096,              0.0017096,              0.0017096
                     25,                 1.3128,                0.78323,                 1.2159,                0.88196,                0.85428,                0.91521,                0.60959,                 1.1398,                0.61971,                 1.0639,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.3033,                 0.7645,                 1.2001,                  0.908,                0.86112,                0.92828,                0.63224,                 1.1523,                0.57409,                 1.0531,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.2919,                0.76306,                 1.1965,                0.92684,                0.85313,                0.93289,                0.62589,                 1.1824,                0.58669,                 1.0615,                0.00167,                0.00167,                0.00167
                     28,                 1.2849,                0.74417,                 1.1893,                0.89145,                0.84062,                0.91817,                0.63513,                  1.087,                0.59674,                 1.0424,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.2819,                0.74726,                 1.1872,                0.90514,                0.86172,                0.92773,                0.63271,                 1.1196,                0.59701,                 1.0453,              0.0016436,              0.0016436,              0.0016436
                     30,                 1.2695,                0.73506,                 1.1791,                0.89154,                 0.8689,                0.92762,                0.63306,                 1.1335,                0.56771,                 1.0435,              0.0016304,              0.0016304,              0.0016304
                     31,                 1.2674,                0.73058,                 1.1818,                0.91931,                0.87818,                0.93662,                0.64761,                 1.1051,                0.57089,                 1.0356,              0.0016172,              0.0016172,              0.0016172
                     32,                 1.2538,                0.72657,                 1.1753,                0.91733,                0.88342,                0.94044,                0.65613,                 1.1238,                0.54631,                 1.0355,               0.001604,               0.001604,               0.001604
                     33,                 1.2492,                0.71921,                 1.1732,                0.92581,                0.86648,                0.93358,                0.64713,                 1.1284,                0.56682,                 1.0409,              0.0015908,              0.0015908,              0.0015908
                     34,                 1.2386,                0.70562,                 1.1613,                0.92953,                0.89345,                0.94836,                0.66955,                 1.0806,                0.53424,                 1.0256,              0.0015776,              0.0015776,              0.0015776
                     35,                 1.2386,                0.70356,                 1.1664,                0.93149,                0.88305,                0.93826,                0.65935,                 1.0815,                0.54637,                 1.0186,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.2379,                0.70535,                 1.1618,                0.93193,                0.88985,                0.94696,                 0.6812,                 1.0503,                0.51787,                 1.0081,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.2279,                0.70763,                 1.1618,                0.93818,                0.88125,                0.94541,                 0.6751,                 1.0816,                0.52349,                 1.0197,               0.001538,               0.001538,               0.001538
