                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7877,                 1.8541,                 1.5369,                0.71207,                0.62475,                0.67117,                0.34134,                 1.4911,                 1.1194,                  1.281,             0.00066106,             0.00066106,             0.00066106
                      2,                 1.6331,                 1.1898,                 1.4458,                0.82582,                0.60737,                0.72986,                0.40193,                  1.538,                 1.0129,                  1.287,               0.001319,               0.001319,               0.001319
                      3,                 1.6204,                  1.152,                 1.4413,                0.78194,                0.65043,                0.75637,                 0.4005,                  1.611,                 1.0855,                  1.326,              0.0019681,              0.0019681,              0.0019681
                      4,                 1.6167,                 1.1908,                 1.4596,                0.74063,                0.66687,                0.73085,                0.37675,                  1.534,                 1.1236,                 1.3142,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.5818,                 1.1028,                  1.418,                0.85901,                0.72284,                 0.8397,                0.45338,                 1.5269,                0.88958,                 1.2649,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5475,                 1.0527,                 1.3981,                0.73003,                0.70159,                0.80498,                0.46763,                 1.3887,                0.87508,                 1.2112,              0.0019472,              0.0019472,              0.0019472
                      7,                 1.5183,                 1.0251,                 1.3858,                0.80639,                0.72057,                0.82199,                0.44821,                 1.4494,                0.93312,                 1.2383,               0.001934,               0.001934,               0.001934
                      8,                 1.4968,                0.99601,                 1.3739,                0.81061,                0.73661,                0.84084,                0.50422,                 1.3358,                0.84826,                 1.1951,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.4912,                0.98136,                 1.3678,                0.76821,                0.78168,                0.84855,                0.52357,                  1.248,                0.76342,                  1.159,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.4402,                0.93883,                 1.3362,                0.84987,                0.78719,                0.87856,                 0.5109,                  1.403,                 0.7609,                 1.1889,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.4387,                0.91747,                 1.3353,                0.85889,                0.79437,                0.89081,                0.53365,                 1.3163,                0.70853,                   1.17,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.4196,                0.90708,                  1.318,                 0.8433,                0.82792,                0.89536,                 0.5356,                 1.3742,                0.69101,                 1.1818,               0.001868,               0.001868,               0.001868
                     13,                 1.4017,                0.87619,                 1.3071,                0.85217,                0.80275,                0.88558,                0.51797,                 1.3754,                0.75447,                 1.1866,              0.0018548,              0.0018548,              0.0018548
                     14,                    1.4,                0.87792,                 1.3073,                0.88086,                0.80635,                0.90298,                0.56936,                  1.262,                0.64835,                  1.138,              0.0018416,              0.0018416,              0.0018416
