                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7417,                 1.6899,                 1.8137,                0.35394,                0.51811,                0.26864,                0.11748,                 1.6923,                 2.6345,                 1.7725,             0.00066106,             0.00066106,             0.00066106
                      2,                 1.6778,                 1.2705,                 1.8405,                0.63862,                0.55163,                0.63453,                0.30392,                 1.7858,                 1.2372,                 1.7984,               0.001319,               0.001319,               0.001319
                      3,                 1.6561,                 1.2337,                 1.8272,                0.70971,                0.61329,                0.68719,                0.36057,                 1.5559,                 1.2525,                 1.6855,              0.0019681,              0.0019681,              0.0019681
                      4,                  1.649,                 1.2255,                 1.8123,                0.72463,                0.63694,                 0.7047,                0.36187,                 1.5865,                 1.0104,                 1.7215,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.6166,                 1.1448,                 1.7795,                0.73274,                0.61928,                0.69423,                0.36644,                 1.5904,                 1.1736,                 1.6663,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5746,                 1.0849,                  1.734,                0.74541,                0.70809,                0.80776,                0.45377,                 1.4648,                0.93538,                 1.5649,              0.0019472,              0.0019472,              0.0019472
                      7,                 1.5371,                 1.0367,                 1.7051,                0.78409,                0.72282,                0.81071,                0.43483,                 1.5205,                0.84387,                 1.6254,               0.001934,               0.001934,               0.001934
                      8,                 1.5177,                 1.0011,                 1.6866,                0.76028,                0.67589,                0.77786,                0.45606,                 1.3756,                0.85737,                  1.544,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.5111,                 0.9943,                 1.6774,                0.80307,                0.79707,                 0.8673,                0.51964,                 1.3244,                0.72308,                 1.4683,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.4656,                0.95577,                 1.6475,                0.81132,                0.77791,                0.86773,                  0.515,                  1.413,                0.74843,                 1.4869,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.4536,                0.91067,                 1.6408,                0.82689,                0.78778,                 0.8775,                0.54006,                 1.3336,                 0.6857,                 1.4699,              0.0018812,              0.0018812,              0.0018812
